num_oracles,read_tx_fraction,1_stage,2_stage,3_stage,4_stage
1,0.2,0.910145,0.950656,0.915557,0.829613,
1,0.4,0.783191,0.945892,0.914311,0.825217,
1,0.6,0.661711,0.944287,0.914966,0.83129,
1,0.8,0.397298,0.819342,0.908693,0.828777,
2,0.2,0.928534,0.950575,0.91306,0.82947,
2,0.4,0.787843,0.953766,0.914575,0.828531,
2,0.6,0.640709,0.950953,0.914771,0.82784,
2,0.8,0.647278,0.8948,0.911612,0.825658,
3,0.2,0.953836,0.953726,0.918702,0.827268,
3,0.4,0.820863,0.957965,0.913372,0.824791,
3,0.6,0.66363,0.953706,0.918395,0.827276,
3,0.8,0.466878,0.945518,0.909556,0.824527,
