txs_fraction,conflict_clusters,1_stage,2_stage,3_stage,4_stage
0.2,1,0.913537,0.949717,0.914197,0.82172,
0.2,3,0.946108,0.959997,0.912462,0.823511,
0.2,5,0.94474,0.956748,0.914603,0.827153,
0.2,7,0.959794,0.954707,0.913004,0.822231,
0.2,9,0.962056,0.954452,0.916727,0.827412,
0.4,1,0.741145,0.942363,0.91041,0.81977,
0.4,3,0.793286,0.952766,0.906817,0.821291,
0.4,5,0.889003,0.960021,0.909173,0.816942,
0.4,7,0.908091,0.959419,0.912831,0.825656,
0.4,9,0.939157,0.96441,0.913411,0.823967,
0.6,1,0.537364,0.857561,0.879622,0.8132,
0.6,3,0.635884,0.937344,0.905647,0.814447,
0.6,5,0.701529,0.951344,0.907027,0.815858,
0.6,7,0.792426,0.954113,0.902562,0.815468,
0.6,9,0.818012,0.964152,0.908452,0.821409,
0.8,1,0.325815,0.48827,0.514712,0.508103,
0.8,3,0.383291,0.665685,0.743323,0.715382,
0.8,5,0.505118,0.827162,0.896348,0.810816,
0.8,7,0.606284,0.938797,0.900721,0.809283,
0.8,9,0.680307,0.9554,0.903222,0.811997,
