conflicts_per_tx,mean_ro_entries_per_conflict,mean_rw_entries_per_conflict,1_stage,2_stage,3_stage,4_stage
5,40,2,0.125628,0.220355,0.516848,0.776522,
5,40,3,0.126167,0.196431,0.412096,0.623565,
5,40,4,0.12776,0.191865,0.392151,0.583083,
5,40,5,0.127497,0.170039,0.319427,0.472189,
5,50,1,0.127582,0.212428,0.531133,0.797838,
5,50,2,0.127997,0.213684,0.451525,0.71139,
5,50,3,0.125938,0.197715,0.369387,0.60856,
5,50,4,0.126602,0.167868,0.285247,0.471899,
5,50,5,0.126033,0.166672,0.308547,0.483558,
6,10,1,0.160111,0.415873,0.705454,0.903364,
6,10,2,0.15612,0.354888,0.546849,0.713242,
6,10,3,0.144017,0.300027,0.451715,0.58372,
6,10,4,0.1349,0.238765,0.38168,0.499219,
6,10,5,0.136127,0.220428,0.32692,0.438626,
6,20,1,0.144819,0.351417,0.573102,0.818195,
6,20,2,0.139952,0.317364,0.497754,0.673316,
6,20,3,0.1329,0.245799,0.401362,0.551584,
6,20,4,0.135066,0.220996,0.350895,0.486966,
6,20,5,0.131279,0.188299,0.301503,0.402593,
6,30,1,0.133576,0.259287,0.516747,0.772586,
6,30,2,0.131185,0.238746,0.448929,0.667852,
6,30,3,0.128046,0.21751,0.370154,0.522911,
6,30,4,0.128859,0.182416,0.315238,0.444079,
6,30,5,0.127124,0.156676,0.271613,0.389785,
6,40,1,0.126556,0.208541,0.452978,0.737276,
6,40,2,0.124638,0.193639,0.385137,0.632096,
6,40,3,0.126414,0.178583,0.331418,0.531203,
6,40,4,0.125197,0.170134,0.309804,0.483169,
6,40,5,0.125287,0.152672,0.246063,0.38043,
6,50,1,0.125785,0.183628,0.421296,0.712896,
6,50,2,0.125391,0.179476,0.351829,0.598965,
6,50,3,0.124882,0.158408,0.279709,0.488249,
6,50,4,0.124415,0.144002,0.244987,0.396465,
6,50,5,0.125194,0.149061,0.24834,0.390468,
7,10,1,0.150475,0.388467,0.608192,0.846905,
7,10,2,0.145205,0.301964,0.467524,0.635255,
7,10,3,0.131543,0.252191,0.395743,0.529034,
7,10,4,0.129036,0.207996,0.327976,0.433131,
7,10,5,0.129167,0.189857,0.287219,0.390036,
7,20,1,0.137727,0.325701,0.52368,0.760953,
7,20,2,0.132151,0.262342,0.429576,0.588295,
7,20,3,0.128333,0.209343,0.376472,0.491608,
7,20,4,0.127095,0.188259,0.307445,0.404581,
7,20,5,0.127383,0.168049,0.274629,0.369146,
7,30,1,0.131096,0.267417,0.481887,0.696736,
7,30,2,0.128813,0.199519,0.383179,0.582619,
7,30,3,0.127144,0.188723,0.33908,0.455346,
7,30,4,0.127068,0.160631,0.281713,0.406622,
7,30,5,0.125764,0.152474,0.24235,0.337489,
7,40,1,0.125307,0.185757,0.380517,0.637163,
7,40,2,0.125275,0.179339,0.348903,0.560265,
7,40,3,0.126107,0.160223,0.300869,0.443915,
7,40,4,0.124906,0.149677,0.278278,0.402371,
7,40,5,0.124367,0.141117,0.208357,0.337837,
7,50,1,0.12473,0.160138,0.336089,0.598137,
7,50,2,0.125044,0.155166,0.28179,0.514459,
7,50,3,0.124425,0.138088,0.238146,0.409889,
7,50,4,0.124259,0.132959,0.217799,0.342363,
7,50,5,0.124868,0.142527,0.203439,0.341009,
8,10,1,0.145985,0.347107,0.548043,0.777986,
8,10,2,0.137425,0.275089,0.42035,0.583028,
8,10,3,0.128313,0.219449,0.351962,0.483932,
8,10,4,0.126949,0.183557,0.28615,0.384113,
8,10,5,0.126753,0.162072,0.261234,0.333626,
8,20,1,0.136122,0.273854,0.483591,0.67122,
8,20,2,0.129288,0.231171,0.405144,0.570923,
8,20,3,0.125861,0.188307,0.324865,0.442612,
8,20,4,0.126454,0.163743,0.269638,0.382374,
8,20,5,0.128082,0.151715,0.243825,0.32957,
8,30,1,0.127679,0.238622,0.434937,0.644562,
8,30,2,0.126713,0.188887,0.360694,0.519189,
8,30,3,0.126599,0.176432,0.291938,0.438459,
8,30,4,0.125288,0.149764,0.235097,0.34597,
8,30,5,0.126228,0.149068,0.214964,0.307543,
8,40,1,0.126187,0.187436,0.356332,0.574118,
8,40,2,0.124912,0.168555,0.332812,0.488378,
8,40,3,0.12578,0.150108,0.258296,0.360974,
8,40,4,0.124669,0.141309,0.237764,0.362014,
8,40,5,0.124048,0.138791,0.197255,0.292404,
8,50,1,0.124393,0.156519,0.301894,0.54414,
8,50,2,0.123995,0.149573,0.266878,0.459916,
8,50,3,0.124267,0.137258,0.202097,0.334515,
8,50,4,0.124323,0.132558,0.185021,0.29598,
8,50,5,0.124992,0.134478,0.185153,0.281961,
9,10,1,0.137821,0.324314,0.497143,0.691457,
9,10,2,0.134748,0.233511,0.384506,0.527842,
9,10,3,0.129753,0.19556,0.31588,0.427613,
9,10,4,0.124767,0.170455,0.266355,0.356178,
9,10,5,0.125815,0.143842,0.225674,0.295251,
9,20,1,0.13111,0.262098,0.437535,0.617809,
9,20,2,0.128359,0.205061,0.364461,0.490696,
9,20,3,0.126324,0.165764,0.30945,0.394201,
9,20,4,0.12538,0.148803,0.238604,0.328348,
9,20,5,0.125942,0.144698,0.218001,0.294868,
9,30,1,0.127564,0.227701,0.409809,0.593776,
9,30,2,0.126946,0.175386,0.341999,0.467099,
9,30,3,0.127055,0.166197,0.281754,0.38497,
9,30,4,0.124402,0.147996,0.211016,0.319741,
9,30,5,0.124624,0.137034,0.18827,0.28212,
9,40,1,0.127001,0.171768,0.331124,0.517204,
9,40,2,0.12464,0.165053,0.297763,0.436626,
9,40,3,0.125264,0.144873,0.240868,0.364332,
9,40,4,0.12573,0.138087,0.21289,0.313432,
9,40,5,0.12441,0.13382,0.187995,0.266956,
9,50,1,0.125148,0.148504,0.302484,0.487504,
9,50,2,0.12459,0.142457,0.243513,0.400611,
9,50,3,0.124337,0.13248,0.196709,0.299825,
9,50,4,0.124507,0.128967,0.178124,0.275047,
9,50,5,0.124108,0.130323,0.169255,0.253003,
10,10,1,0.138782,0.291587,0.439158,0.652773,
10,10,2,0.127703,0.22923,0.353794,0.484108,
10,10,3,0.125917,0.177853,0.286016,0.392476,
10,10,4,0.124764,0.146905,0.233669,0.329435,
10,10,5,0.125515,0.137389,0.199078,0.265272,
10,20,1,0.125719,0.225272,0.411868,0.571827,
10,20,2,0.126936,0.186843,0.320055,0.437047,
10,20,3,0.124688,0.156892,0.263512,0.35837,
10,20,4,0.125278,0.141226,0.210642,0.301518,
