conflicts_per_tx,mean_rw_entries_per_conflict,1_stage,2_stage,3_stage,4_stage
5,27,0.14456,0.229261,0.334831,0.411797,
5,28,0.143577,0.22376,0.324942,0.400008,
5,29,0.143077,0.218008,0.317577,0.409696,
5,30,0.142865,0.212437,0.310655,0.377768,
6,5,0.326384,0.605216,0.876508,0.966323,
6,6,0.291682,0.534274,0.7918,0.954942,
6,7,0.24857,0.482329,0.703961,0.902329,
6,8,0.219508,0.42666,0.628935,0.82064,
6,9,0.206065,0.406387,0.590519,0.753275,
6,10,0.182241,0.382301,0.538751,0.705242,
6,11,0.179593,0.359233,0.523529,0.687558,
6,12,0.165187,0.34243,0.494677,0.635803,
6,13,0.161677,0.311629,0.449968,0.596608,
6,14,0.153569,0.295067,0.435301,0.546187,
6,15,0.144824,0.298357,0.414515,0.53875,
6,16,0.145173,0.285591,0.390759,0.51513,
6,17,0.147843,0.274161,0.390808,0.512391,
6,18,0.142194,0.257471,0.35504,0.459212,
6,19,0.140218,0.2627,0.357079,0.460393,
6,20,0.136854,0.24579,0.341724,0.43644,
6,21,0.141016,0.250713,0.339922,0.425365,
6,22,0.138653,0.233006,0.324264,0.40116,
6,23,0.135347,0.210185,0.308969,0.383419,
6,24,0.135328,0.205878,0.305367,0.393913,
6,25,0.130326,0.18901,0.29455,0.374016,
6,26,0.13764,0.198332,0.284619,0.3611,
6,27,0.133476,0.193582,0.285064,0.36535,
6,28,0.130537,0.181084,0.274114,0.348248,
6,29,0.132189,0.175389,0.264126,0.324574,
6,30,0.12961,0.167165,0.253772,0.310508,
7,5,0.287742,0.525262,0.772338,0.957361,
7,6,0.249345,0.475288,0.709728,0.908088,
7,7,0.215265,0.432227,0.62844,0.826026,
7,8,0.188261,0.377339,0.576081,0.747471,
7,9,0.181801,0.366955,0.518986,0.68196,
7,10,0.166356,0.340531,0.463537,0.626593,
7,11,0.159913,0.323193,0.475597,0.611217,
7,12,0.150288,0.299259,0.430583,0.553499,
7,13,0.143605,0.293849,0.410649,0.533893,
7,14,0.143664,0.264558,0.37955,0.492915,
7,15,0.135191,0.25103,0.350531,0.465652,
7,16,0.136303,0.250838,0.355827,0.458108,
7,17,0.136219,0.240241,0.337573,0.43392,
7,18,0.131778,0.209978,0.307556,0.397958,
7,19,0.131261,0.218336,0.325033,0.403205,
7,20,0.132075,0.209143,0.300608,0.376924,
7,21,0.129905,0.194463,0.28803,0.374233,
7,22,0.130772,0.185848,0.286957,0.352727,
7,23,0.130644,0.17932,0.272912,0.345513,
7,24,0.127522,0.179228,0.27584,0.344603,
7,25,0.127076,0.157561,0.257553,0.319694,
7,26,0.128962,0.159295,0.257316,0.330773,
7,27,0.129391,0.165496,0.258533,0.309866,
7,28,0.127827,0.155243,0.234751,0.296396,
7,29,0.126014,0.152661,0.23003,0.295646,
7,30,0.127639,0.153119,0.222482,0.279557,
8,5,0.244805,0.475568,0.706301,0.922375,
8,6,0.225318,0.427375,0.644304,0.8443,
8,7,0.185043,0.376641,0.577664,0.743909,
8,8,0.163035,0.347627,0.506396,0.664624,
8,9,0.158258,0.331365,0.467852,0.626395,
8,10,0.147812,0.306641,0.428574,0.569621,
8,11,0.146705,0.294913,0.414228,0.553854,
8,12,0.142519,0.275867,0.384719,0.493331,
8,13,0.136496,0.262232,0.353499,0.451026,
8,14,0.132496,0.242851,0.335385,0.447392,
8,15,0.131727,0.215743,0.327196,0.415398,
8,16,0.128645,0.218508,0.311564,0.403495,
8,17,0.129419,0.206092,0.287133,0.382044,
8,18,0.127287,0.180742,0.279648,0.35621,
8,19,0.127999,0.179708,0.266198,0.352529,
8,20,0.127542,0.171796,0.255829,0.334974,
8,21,0.126733,0.168932,0.269937,0.333893,
8,22,0.128817,0.159142,0.24998,0.311733,
8,23,0.126585,0.156182,0.239744,0.302187,
8,24,0.125229,0.150909,0.242572,0.298498,
8,25,0.126472,0.142068,0.220554,0.2921,
8,26,0.127429,0.148351,0.219594,0.281117,
8,27,0.125957,0.147808,0.215799,0.2805,
8,28,0.125652,0.14072,0.198171,0.266346,
8,29,0.125252,0.142767,0.195007,0.261201,
8,30,0.12614,0.132658,0.192574,0.251893,
9,5,0.212586,0.432773,0.666711,0.846673,
9,6,0.190454,0.400079,0.576791,0.757495,
9,7,0.172973,0.352939,0.520452,0.680322,
9,8,0.155148,0.321968,0.470383,0.60388,
9,9,0.146179,0.306092,0.440411,0.566712,
