conflicts_per_tx,mean_ro_entries_per_conflict,mean_rw_entries_per_conflict,1_stage,2_stage,3_stage,4_stage
5,40,2,0.199717,0.619801,0.867659,0.813039,
5,40,3,0.160731,0.523101,0.762563,0.780687,
5,40,4,0.153651,0.43257,0.717231,0.781675,
5,40,5,0.164347,0.428453,0.677913,0.776013,
5,50,1,0.162631,0.56608,0.850396,0.813152,
5,50,2,0.145834,0.531721,0.829707,0.809513,
5,50,3,0.145319,0.434294,0.75695,0.786962,
5,50,4,0.149583,0.383688,0.648666,0.787511,
5,50,5,0.144289,0.37471,0.65174,0.766573,
6,10,1,0.387722,0.835884,0.900659,0.812988,
6,10,2,0.323864,0.735027,0.897227,0.806912,
6,10,3,0.269325,0.579198,0.810473,0.798854,
6,10,4,0.225451,0.508254,0.714505,0.796899,
6,10,5,0.180557,0.404211,0.608932,0.732376,
6,20,1,0.265955,0.771463,0.903806,0.813796,
6,20,2,0.254917,0.627272,0.877678,0.806897,
6,20,3,0.226406,0.528139,0.801275,0.795591,
6,20,4,0.20538,0.478969,0.716282,0.770226,
6,20,5,0.176293,0.415395,0.621776,0.729742,
6,30,1,0.235941,0.717082,0.892129,0.81146,
6,30,2,0.196511,0.620214,0.849355,0.804323,
6,30,3,0.159727,0.459495,0.742495,0.791543,
6,30,4,0.164588,0.465128,0.68373,0.779262,
6,30,5,0.159386,0.398095,0.616006,0.734921,
6,40,1,0.182104,0.577864,0.859118,0.811551,
6,40,2,0.170883,0.569981,0.818304,0.805266,
6,40,3,0.163968,0.44775,0.695681,0.781739,
6,40,4,0.149819,0.374887,0.661075,0.738044,
6,40,5,0.144999,0.392471,0.642707,0.730017,
6,50,1,0.154311,0.54538,0.799835,0.812155,
6,50,2,0.142609,0.470356,0.787126,0.79886,
6,50,3,0.132928,0.391693,0.663826,0.775914,
6,50,4,0.138744,0.386463,0.578836,0.736734,
6,50,5,0.143195,0.32537,0.585503,0.730991,
7,10,1,0.338903,0.736513,0.901109,0.809493,
7,10,2,0.290726,0.624173,0.857259,0.805181,
7,10,3,0.231209,0.547864,0.76056,0.79764,
7,10,4,0.193526,0.42513,0.62098,0.758813,
7,10,5,0.155419,0.373594,0.517534,0.663594,
7,20,1,0.237366,0.678632,0.889336,0.81115,
7,20,2,0.220834,0.54261,0.819421,0.799295,
7,20,3,0.181084,0.497482,0.710713,0.780992,
7,20,4,0.169852,0.410795,0.619361,0.732509,
7,20,5,0.149921,0.356897,0.53016,0.688924,
7,30,1,0.210382,0.657741,0.85785,0.808536,
7,30,2,0.177187,0.514213,0.813261,0.805919,
7,30,3,0.153383,0.415427,0.694781,0.758693,
7,30,4,0.149462,0.376262,0.599822,0.721777,
7,30,5,0.135163,0.34489,0.509321,0.637518,
7,40,1,0.164661,0.516667,0.81441,0.803765,
7,40,2,0.166595,0.504022,0.771147,0.804808,
7,40,3,0.15511,0.389118,0.67219,0.750795,
7,40,4,0.140871,0.342025,0.580055,0.693473,
7,40,5,0.135899,0.280442,0.515477,0.638048,
7,50,1,0.147949,0.483563,0.728682,0.808163,
7,50,2,0.135835,0.430644,0.708671,0.78661,
7,50,3,0.131929,0.34784,0.621475,0.753903,
7,50,4,0.132628,0.310375,0.61341,0.700412,
7,50,5,0.133092,0.298472,0.533032,0.662874,
8,10,1,0.320395,0.704189,0.900241,0.809331,
8,10,2,0.240453,0.535772,0.797579,0.801456,
8,10,3,0.198426,0.448969,0.671017,0.764413,
8,10,4,0.1641,0.375689,0.55995,0.694146,
8,10,5,0.1468,0.32787,0.478523,0.587857,
8,20,1,0.213257,0.591385,0.863855,0.810708,
8,20,2,0.177423,0.438072,0.739316,0.796078,
8,20,3,0.165275,0.431038,0.656391,0.756875,
8,20,4,0.155407,0.359254,0.540029,0.660105,
8,20,5,0.132901,0.305794,0.478399,0.598753,
8,30,1,0.190275,0.605185,0.829193,0.80708,
8,30,2,0.164287,0.509165,0.739937,0.787305,
8,30,3,0.156513,0.356903,0.589931,0.730474,
8,30,4,0.142113,0.333173,0.545541,0.649613,
8,30,5,0.132035,0.29693,0.475677,0.598882,
8,40,1,0.162865,0.467454,0.751145,0.805862,
8,40,2,0.157224,0.466805,0.720129,0.797694,
8,40,3,0.156271,0.366861,0.596784,0.71202,
8,40,4,0.133851,0.312027,0.523753,0.653055,
